goNorth
u_L,u_R,heading,
24.0306742734,15.9693257266,-2.01533713668,
24.0306742734,15.9693257266,-2.01533713668,
24.2256175895,15.7743824105,-2.11280879474,
24.2256175895,15.7743824105,-2.11280879474,
24.2256175895,15.7743824105,-2.11280879474,
24.2256175895,15.7743824105,-2.11280879474,
24.2256175895,15.7743824105,-2.11280879474,
24.2256175895,15.7743824105,-2.11280879474,
24.0975994648,15.9024005352,-2.0487997324,
24.0975994648,15.9024005352,-2.0487997324,
24.0975994648,15.9024005352,-2.0487997324,
24.0975994648,15.9024005352,-2.0487997324,
24.0975994648,15.9024005352,-2.0487997324,
24.0975994648,15.9024005352,-2.0487997324,
24.4274402322,15.5725597678,-2.2137201161,
24.4274402322,15.5725597678,-2.2137201161,
24.4274402322,15.5725597678,-2.2137201161,
24.4274402322,15.5725597678,-2.2137201161,
24.4274402322,15.5725597678,-2.2137201161,
24.4274402322,15.5725597678,-2.2137201161,
24.2942307409,15.7057692591,-2.14711537043,
24.2942307409,15.7057692591,-2.14711537043,
24.2942307409,15.7057692591,-2.14711537043,
24.2942307409,15.7057692591,-2.14711537043,
24.2942307409,15.7057692591,-2.14711537043,
24.2942307409,15.7057692591,-2.14711537043,
24.2942307409,15.7057692591,-2.14711537043,
24.2942307409,15.7057692591,-2.14711537043,
24.0569210591,15.9430789409,-2.02846052954,
24.0569210591,15.9430789409,-2.02846052954,
24.0569210591,15.9430789409,-2.02846052954,
24.0569210591,15.9430789409,-2.02846052954,
24.0569210591,15.9430789409,-2.02846052954,
24.0569210591,15.9430789409,-2.02846052954,
24.0569210591,15.9430789409,-2.02846052954,
24.0569210591,15.9430789409,-2.02846052954,
24.0569210591,15.9430789409,-2.02846052954,
24.7012598899,15.2987401101,-2.35062994494,
24.7012598899,15.2987401101,-2.35062994494,
24.7012598899,15.2987401101,-2.35062994494,
24.7012598899,15.2987401101,-2.35062994494,
24.7012598899,15.2987401101,-2.35062994494,
24.7012598899,15.2987401101,-2.35062994494,
24.7012598899,15.2987401101,-2.35062994494,
24.7012598899,15.2987401101,-2.35062994494,
24.6396841512,15.3603158488,-2.31984207561,
24.0346470386,15.9653529614,-2.01732351929,
24.0346470386,15.9653529614,-2.01732351929,
24.0346470386,15.9653529614,-2.01732351929,
24.0346470386,15.9653529614,-2.01732351929,
24.0346470386,15.9653529614,-2.01732351929,
24.0346470386,15.9653529614,-2.01732351929,
24.0346470386,15.9653529614,-2.01732351929,
24.0346470386,15.9653529614,-2.01732351929,
24.0456923614,15.9543076386,-2.0228461807,
23.9397538551,16.0602461449,-1.96987692756,
23.9397538551,16.0602461449,-1.96987692756,
23.9397538551,16.0602461449,-1.96987692756,
23.9397538551,16.0602461449,-1.96987692756,
23.9397538551,16.0602461449,-1.96987692756,
23.9397538551,16.0602461449,-1.96987692756,
23.9397538551,16.0602461449,-1.96987692756,
23.9397538551,16.0602461449,-1.96987692756,
24.3440416427,15.6559583573,-2.17202082135,
24.3440416427,15.6559583573,-2.17202082135,
24.3440416427,15.6559583573,-2.17202082135,
24.3440416427,15.6559583573,-2.17202082135,
24.3440416427,15.6559583573,-2.17202082135,
24.3440416427,15.6559583573,-2.17202082135,
24.3440416427,15.6559583573,-2.17202082135,
24.3440416427,15.6559583573,-2.17202082135,
24.3440416427,15.6559583573,-2.17202082135,
24.5379434259,15.4620565741,-2.26897171297,
24.441456365,15.558543635,-2.22072818249,
24.441456365,15.558543635,-2.22072818249,
24.441456365,15.558543635,-2.22072818249,
24.441456365,15.558543635,-2.22072818249,
24.441456365,15.558543635,-2.22072818249,
24.441456365,15.558543635,-2.22072818249,
24.441456365,15.558543635,-2.22072818249,
24.441456365,15.558543635,-2.22072818249,
24.2318033377,15.7681966623,-2.11590166884,
24.2318033377,15.7681966623,-2.11590166884,
24.2318033377,15.7681966623,-2.11590166884,
24.2318033377,15.7681966623,-2.11590166884,
24.2318033377,15.7681966623,-2.11590166884,
24.2318033377,15.7681966623,-2.11590166884,
24.2318033377,15.7681966623,-2.11590166884,
24.2318033377,15.7681966623,-2.11590166884,
24.2318033377,15.7681966623,-2.11590166884,
24.3195343631,15.6804656369,-2.15976718155,
24.3195343631,15.6804656369,-2.15976718155,
24.3195343631,15.6804656369,-2.15976718155,
24.3195343631,15.6804656369,-2.15976718155,
24.3195343631,15.6804656369,-2.15976718155,
24.3195343631,15.6804656369,-2.15976718155,
24.3195343631,15.6804656369,-2.15976718155,
24.3195343631,15.6804656369,-2.15976718155,
24.3195343631,15.6804656369,-2.15976718155,
24.5349158141,15.4650841859,-2.26745790705,
24.5349158141,15.4650841859,-2.26745790705,
24.5349158141,15.4650841859,-2.26745790705,
24.5349158141,15.4650841859,-2.26745790705,
24.5349158141,15.4650841859,-2.26745790705,
24.5349158141,15.4650841859,-2.26745790705,
24.5349158141,15.4650841859,-2.26745790705,
24.5349158141,15.4650841859,-2.26745790705,
24.5349158141,15.4650841859,-2.26745790705,
24.1101597205,15.8898402795,-2.05507986027,
24.1101597205,15.8898402795,-2.05507986027,
24.1101597205,15.8898402795,-2.05507986027,
24.1101597205,15.8898402795,-2.05507986027,
24.1101597205,15.8898402795,-2.05507986027,
24.1101597205,15.8898402795,-2.05507986027,
24.1101597205,15.8898402795,-2.05507986027,
24.1101597205,15.8898402795,-2.05507986027,
24.1101597205,15.8898402795,-2.05507986027,
24.0688923652,15.9311076348,-2.03444618259,
24.0688923652,15.9311076348,-2.03444618259,
24.0688923652,15.9311076348,-2.03444618259,
24.0688923652,15.9311076348,-2.03444618259,
24.0688923652,15.9311076348,-2.03444618259,
24.0688923652,15.9311076348,-2.03444618259,
24.0688923652,15.9311076348,-2.03444618259,
