test_GPS
t,lat,long,speed,heading,
140318.09,-5359492.97961,335238.063168,0.0,0.0,
140319.09,-5359492.97961,335238.063168,0.0,0.0,
140320.09,-5359492.97961,335238.063168,0.0,0.0,
140321.09,-5359492.97961,335238.063168,0.0,0.0,
140322.09,-5359492.97961,335238.063168,0.0,0.0,
140323.09,-5359492.97961,335238.063168,0.0,0.0,
140324.09,-5359492.97961,335238.063168,0.0,0.0,
140325.09,-5359492.97961,335238.063168,0.0,0.0,
140326.09,-5359492.97961,335238.063168,0.0,0.0,
140327.09,-5359492.97961,335238.063168,0.0,0.0,
140328.09,-5359492.97961,335238.063168,0.0,0.0,
140329.09,-5359492.97961,335238.063168,0.0,0.0,
140330.088,-5359492.97961,335238.063168,0.0,0.0,
140331.088,-5359492.97961,335238.063168,0.0,0.0,
140332.088,-5359492.97961,335238.063168,0.0,0.0,
140333.088,-5359492.97961,335238.063168,0.0,0.0,
140334.088,-5359492.97961,335238.063168,0.0,0.0,
140335.088,-5359492.97961,335238.063168,0.0,0.0,
140336.088,-5359492.97961,335238.063168,0.0,0.0,
140337.088,-5359492.97961,335238.063168,0.0,0.0,
140338.088,-5359492.97961,335238.063168,0.0,0.0,
140339.088,-5359492.97961,335238.063168,0.0,0.0,
140340.088,-5359492.97961,335238.063168,0.0,0.0,
140341.088,-5359492.97961,335238.063168,0.0,0.0,
140342.088,-5359492.97961,335238.063168,0.0,0.0,
140343.088,-5359492.97961,335238.063168,0.0,0.0,
140344.088,-5359492.97961,335238.063168,0.0,0.0,
140345.088,-5359492.97961,335238.063168,0.0,0.0,
140346.088,-5359492.97961,335238.063168,0.0,0.0,
140347.088,-5359492.97961,335238.063168,0.0,0.0,
140348.088,-5359492.97961,335238.063168,0.0,0.0,
140349.088,-5359492.97961,335238.063168,0.0,0.0,
140350.088,-5359492.97961,335238.063168,0.0,0.0,
140351.088,-5359492.97961,335238.063168,0.0,0.0,
140352.088,-5359492.97961,335238.063168,0.0,0.0,
140353.088,-5359492.97961,335238.063168,0.0,0.0,
140354.087,-5359492.97961,335238.063168,0.0,0.0,
140355.087,-5359492.97961,335238.063168,0.0,0.0,
140356.087,-5359492.97961,335238.063168,0.0,0.0,
140357.087,-5359492.97961,335238.063168,0.0,0.0,
140358.087,-5359492.97961,335238.063168,0.0,0.0,
140359.087,-5359492.97961,335238.063168,0.0,0.0,
140400.087,-5359492.97961,335238.063168,0.0,0.0,
140401.087,-5359492.97961,335238.063168,0.0,0.0,
140402.087,-5359492.97961,335238.063168,0.0,0.0,
140403.087,-5359492.97961,335238.063168,0.0,0.0,
140404.087,-5359492.97961,335238.063168,0.0,0.0,
140405.087,-5359492.97961,335238.063168,0.0,0.0,
140406.087,-5359492.97961,335238.063168,0.0,0.0,
140407.087,-5359492.97961,335238.063168,0.0,0.0,
140408.087,-5359492.97961,335238.063168,0.0,0.0,
140409.087,-5359492.97961,335238.063168,0.0,0.0,
140410.087,-5359492.97961,335238.063168,0.0,0.0,
140411.087,-5359492.97961,335238.063168,0.0,0.0,
140412.087,-5359492.97961,335238.063168,0.0,0.0,
