triangle
t,u_L,u_R,heading,heading_obj,pos_x,pos_y,
91434.0,0.190923589104,39.8636260078,1.29448732293,-1.54317353533,-14.2502808291,136.584434895,
91436.0,0.209214162057,39.8505613128,1.29262093793,-1.54317353533,-14.2502808291,136.584434895,
91438.0,0.181216271008,39.8705598064,1.29547786559,-1.54317353533,-14.2502808291,136.584434895,
91440.0,0.0781888822995,39.9441507984,1.30599086444,-1.54317353533,-14.2502808291,136.584434895,
91442.0,-0.201648616611,40.1440347262,1.33454571127,-1.54317353533,-14.2502808291,136.584434895,
91444.0,-0.213038282019,40.1521702014,1.33570792202,-1.54317353533,-14.2502808291,136.584434895,
91446.0,0.191733393792,39.8630475759,1.2944046898,-1.54317353533,-14.2502808291,136.584434895,
91448.0,0.201969437671,39.8557361159,1.29336019552,-1.54317353533,-14.2502808291,136.584434895,
91450.0,-0.0571537277306,40.0408240912,1.31980133485,-1.54317353533,-14.2502808291,136.584434895,
91452.0,27.9175720693,20.0588770933,-1.52906129939,-1.53747231272,-14.4353483505,127.688840764,
91454.0,30.9126572106,17.9195305638,-1.85611841085,-1.5589084914,-12.7697308216,123.797018331,
91456.0,31.1580125751,17.7442767321,-1.87798631852,-1.55574013739,-12.9547990855,121.017145165,
91458.0,34.1126533121,15.6338190628,-2.17030830126,-1.54656816737,-13.5100044104,117.866622243,
91500.0,34.2965544934,15.5024610761,-2.18481151562,-1.54230595507,-13.6950725874,114.530774444,
91502.0,18.6860726156,26.6528052746,-0.583567492513,-1.53396824602,-14.0652092095,110.453627134,
91504.0,35.1232982849,14.9119297965,-2.25187495287,-1.52500778094,-14.4353458965,107.117779334,
91506.0,36.7490934452,13.7506475391,-2.40725856034,-1.51449392307,-14.8054825163,103.411281779,
91508.0,38.8269080275,12.266494266,-2.61466207229,-1.50987553886,-14.8054820401,99.519459347,
91510.0,5.59224175513,36.0055416035,0.771910566022,-1.51459537733,-14.4353446805,96.9249110585,
91512.0,9.85092712868,32.9636234795,0.352685575142,-1.49926063622,-14.8054811784,92.4771139928,
91514.0,8.34016924179,34.0427362559,0.519089258218,-1.48701592119,-14.9905492335,88.7706164379,
91516.0,29.7661540284,18.7384614083,-1.65678602409,-1.47656622527,-14.9905487284,84.6934691276,
91518.0,33.8577171202,15.8159163427,-2.05661566793,-1.45888943118,-15.1756167905,81.1722964506,
91520.0,31.922870831,17.1979494064,-1.85483598424,-1.4545430423,-14.8054792736,76.9098242626,
91522.0,33.8182730237,15.8440906974,-2.04678702663,-1.45308569768,-14.2502732121,71.9060525635,
91524.0,35.6434465621,14.5403953128,-2.22297670245,-1.4430331757,-13.8801357341,67.4582554977,
91526.0,35.1651593545,14.8820290325,-2.15592492671,-1.42478621706,-13.5099982854,63.0104584319,
91528.0,35.142463753,14.8982401764,-2.13387279172,-1.40504995978,-13.1398609625,59.4892857548,
91530.0,40.2577161047,11.2444884966,-2.10874651871,-0.857959161083,-14.0652027249,54.6708389336,
91532.0,57.5878544795,-1.13418177109,-2.6824246101,0.336744214341,-16.471092108,50.5936916233,
91534.0,48.7220489303,5.19853647839,-1.67929545749,0.435199331314,-18.1367079697,49.2964174791,
91536.0,37.7122490209,13.0626792708,-0.538442761216,0.452603057242,-20.9127344446,47.8138184571,
91538.0,57.0607239365,-0.757659954674,-2.57670031455,0.388679678974,-23.5036926232,47.4431687018,
91540.0,18.6077149377,26.7087750445,1.28141318067,0.323016745736,-24.9842402657,47.8138184571,
91542.0,26.9077114644,20.7802060968,0.270627530526,0.159169516691,-26.4647882822,49.8523921123,
91544.0,20.3225993519,25.4838576058,0.627914705627,-0.155493523772,-27.7602685349,54.6708389336,
91546.0,10.6610021977,32.3849984302,1.3122725172,-0.457012972832,-30.5362970712,61.3425345323,
91548.0,45.0629461521,7.8121813199,-2.32335327891,-0.582236324606,-32.0168458883,65.4196818425,
91550.0,43.2382874849,9.11550893938,-2.12568970141,-0.570762407032,-33.6824623557,66.1609813535,
91552.0,34.0558545023,15.6743896412,-1.14948207512,-0.531537738156,-34.4227360423,65.4196818425,
91554.0,27.4891915319,20.3648631915,-0.443809291138,-0.495932604209,-35.3480782457,64.8637072093,
91556.0,30.1899133535,18.4357761761,-0.678975618233,-0.455515071961,-35.9032833883,63.9370828206,
91558.0,38.8429140091,12.2550614221,-1.42776061544,-0.3213408186,-38.8643780317,61.1572096545,
91600.0,38.6802644622,12.3712396699,-1.41501580077,-0.325192896467,-41.270268417,62.0838340431,
91602.0,39.1399052173,12.0429248448,-1.50404273699,-0.367317714819,-42.9358853534,64.1224076984,
91604.0,42.9013861588,9.35615274368,-1.84206482102,-0.321515212976,-46.082049157,63.5664330652,
91606.0,49.1877929402,4.86586218555,-2.54282539583,-0.380805708051,-47.7476665613,66.531631109,
91608.0,7.54081254222,34.613705327,1.59166640827,-0.496005781302,-49.043148215,72.276702319,
91610.0,9.54501735905,33.1821304578,1.28337367744,-0.599787816539,-49.9684930832,78.2070984067,
91612.0,10.1858233547,32.7244118895,1.1450249471,-0.672748179973,-49.2282206207,81.9135959616,
91614.0,10.1187630832,32.7723120834,1.0637959327,-0.760820079213,-46.45219435,85.0641188831,
91616.0,9.30241421656,33.3554184167,1.07519686627,-0.832720050411,-43.676167536,87.1026925382,
91618.0,8.72494746519,33.7678946677,1.04490332178,-0.921938773607,-38.6793179796,87.4733422937,
91620.0,7.88493670006,34.3679023571,1.03875667544,-1.01380080415,-35.163016937,89.5119159489,
91622.0,6.7376423876,35.1873982946,1.07819576785,-1.09143255995,-32.5720584427,91.9211393596,
91624.0,-11.0958050274,47.9255750196,2.80666652124,-1.1827013387,-29.9811003497,96.3689364253,
91626.0,41.9785011453,10.0153563248,-2.68345275675,-1.25707508886,-27.5752105102,100.446083736,
91628.0,-4.19390122563,42.9956437326,1.93750472924,-1.34758723256,-23.5037034594,103.225956902,
91630.0,4.74446427477,36.6110969466,0.963373362043,-1.40964048747,-20.7276760305,106.376479823,
91632.0,2.58397518078,38.1543034423,1.14540655756,-1.44806536277,-18.8769910178,108.600378356,
91634.0,2.66730547279,38.0947818052,1.119495114,-1.4654737153,-18.1367172203,111.009601767,
91636.0,7.84377604385,34.3973028258,0.553149066781,-1.50360847977,-16.1009636911,114.345449566,
91638.0,35.6208829542,14.5565121756,-2.2912612572,-1.51362013943,-15.7308271731,118.793246632,
91640.0,33.5755555709,16.0174603065,-2.05915036823,-1.49021612631,-17.5815132342,122.314419309,
91642.0,29.9485982462,18.6081441099,-1.6597098066,-1.46087325087,-19.6172673375,121.943769554,
91644.0,32.5462968739,16.7526450901,-1.91233871086,-1.44843086658,-20.5426101992,122.314419309,
