goNorth
u_L,u_R,heading,
18.2979019752,18.0425176298,-0.978741185118,
18.2979019752,18.0425176298,-0.978741185118,
18.2979019752,18.0425176298,-0.978741185118,
18.2979019752,18.0425176298,-0.978741185118,
18.2979019752,18.0425176298,-0.978741185118,
19.4009907491,16.7188111011,-1.64059444943,
19.4009907491,16.7188111011,-1.64059444943,
19.4009907491,16.7188111011,-1.64059444943,
19.4009907491,16.7188111011,-1.64059444943,
19.4009907491,16.7188111011,-1.64059444943,
19.4009907491,16.7188111011,-1.64059444943,
19.4270833765,16.6874999483,-1.65625002587,
19.4270833765,16.6874999483,-1.65625002587,
19.4270833765,16.6874999483,-1.65625002587,
19.4270833765,16.6874999483,-1.65625002587,
19.4270833765,16.6874999483,-1.65625002587,
19.077596248,17.1068845024,-1.44655774879,
19.077596248,17.1068845024,-1.44655774879,
19.077596248,17.1068845024,-1.44655774879,
19.077596248,17.1068845024,-1.44655774879,
19.077596248,17.1068845024,-1.44655774879,
19.077596248,17.1068845024,-1.44655774879,
19.8031404455,16.2362314654,-1.88188426732,
19.8031404455,16.2362314654,-1.88188426732,
19.8031404455,16.2362314654,-1.88188426732,
19.8031404455,16.2362314654,-1.88188426732,
19.8031404455,16.2362314654,-1.88188426732,
18.8796640212,17.3444031746,-1.3277984127,
18.8796640212,17.3444031746,-1.3277984127,
18.8796640212,17.3444031746,-1.3277984127,
18.8796640212,17.3444031746,-1.3277984127,
18.8796640212,17.3444031746,-1.3277984127,
18.8796640212,17.3444031746,-1.3277984127,
18.8796640212,17.3444031746,-1.3277984127,
18.8796640212,17.3444031746,-1.3277984127,
18.8796640212,17.3444031746,-1.3277984127,
19.1021308685,17.0774429578,-1.46127852112,
19.1021308685,17.0774429578,-1.46127852112,
19.1021308685,17.0774429578,-1.46127852112,
19.1021308685,17.0774429578,-1.46127852112,
19.1021308685,17.0774429578,-1.46127852112,
19.1021308685,17.0774429578,-1.46127852112,
19.1021308685,17.0774429578,-1.46127852112,
19.1021308685,17.0774429578,-1.46127852112,
19.1021308685,17.0774429578,-1.46127852112,
18.0284550129,18.3658539845,-0.817073007752,
18.0284550129,18.3658539845,-0.817073007752,
18.0284550129,18.3658539845,-0.817073007752,
18.0284550129,18.3658539845,-0.817073007752,
18.0284550129,18.3658539845,-0.817073007752,
18.0284550129,18.3658539845,-0.817073007752,
18.0284550129,18.3658539845,-0.817073007752,
18.0284550129,18.3658539845,-0.817073007752,
17.3880776009,19.134306879,-0.432846560521,
17.3880776009,19.134306879,-0.432846560521,
17.3880776009,19.134306879,-0.432846560521,
17.3880776009,19.134306879,-0.432846560521,
17.3880776009,19.134306879,-0.432846560521,
17.3880776009,19.134306879,-0.432846560521,
17.3880776009,19.134306879,-0.432846560521,
17.3880776009,19.134306879,-0.432846560521,
19.7129861358,16.344416637,-1.8277916815,
19.7129861358,16.344416637,-1.8277916815,
19.7129861358,16.344416637,-1.8277916815,
19.7129861358,16.344416637,-1.8277916815,
19.7129861358,16.344416637,-1.8277916815,
19.7129861358,16.344416637,-1.8277916815,
19.7129861358,16.344416637,-1.8277916815,
19.7129861358,16.344416637,-1.8277916815,
18.5188599555,17.7773680534,-1.11131597332,
18.5188599555,17.7773680534,-1.11131597332,
18.5188599555,17.7773680534,-1.11131597332,
18.5188599555,17.7773680534,-1.11131597332,
18.5188599555,17.7773680534,-1.11131597332,
18.5188599555,17.7773680534,-1.11131597332,
18.5188599555,17.7773680534,-1.11131597332,
18.5188599555,17.7773680534,-1.11131597332,
19.0334854428,17.1598174687,-1.42009126567,
19.0334854428,17.1598174687,-1.42009126567,
19.0334854428,17.1598174687,-1.42009126567,
19.0334854428,17.1598174687,-1.42009126567,
19.0334854428,17.1598174687,-1.42009126567,
19.0334854428,17.1598174687,-1.42009126567,
19.0334854428,17.1598174687,-1.42009126567,
19.0334854428,17.1598174687,-1.42009126567,
16.5852579446,20.0976904665,0.0488452332353,
16.5852579446,20.0976904665,0.0488452332353,
16.5852579446,20.0976904665,0.0488452332353,
16.5852579446,20.0976904665,0.0488452332353,
16.5852579446,20.0976904665,0.0488452332353,
16.5852579446,20.0976904665,0.0488452332353,
16.5852579446,20.0976904665,0.0488452332353,
16.5852579446,20.0976904665,0.0488452332353,
18.7832685771,17.4600777075,-1.26996114627,
18.7832685771,17.4600777075,-1.26996114627,
18.7832685771,17.4600777075,-1.26996114627,
18.7832685771,17.4600777075,-1.26996114627,
18.7832685771,17.4600777075,-1.26996114627,
18.7832685771,17.4600777075,-1.26996114627,
18.7832685771,17.4600777075,-1.26996114627,
18.7832685771,17.4600777075,-1.26996114627,
18.673283231,17.5920601228,-1.20396993859,
18.673283231,17.5920601228,-1.20396993859,
18.673283231,17.5920601228,-1.20396993859,
18.673283231,17.5920601228,-1.20396993859,
18.673283231,17.5920601228,-1.20396993859,
18.673283231,17.5920601228,-1.20396993859,
18.673283231,17.5920601228,-1.20396993859,
18.673283231,17.5920601228,-1.20396993859,
19.0980766529,17.0823080165,-1.45884599177,
19.4238917333,16.6913299201,-1.65433503995,
19.4238917333,16.6913299201,-1.65433503995,
19.4238917333,16.6913299201,-1.65433503995,
19.4238917333,16.6913299201,-1.65433503995,
19.4238917333,16.6913299201,-1.65433503995,
19.4238917333,16.6913299201,-1.65433503995,
19.4238917333,16.6913299201,-1.65433503995,
19.4238917333,16.6913299201,-1.65433503995,
18.6199359868,17.6560768159,-1.17196159206,
18.6199359868,17.6560768159,-1.17196159206,
18.6199359868,17.6560768159,-1.17196159206,
18.6199359868,17.6560768159,-1.17196159206,
18.6199359868,17.6560768159,-1.17196159206,
18.6199359868,17.6560768159,-1.17196159206,
18.6199359868,17.6560768159,-1.17196159206,
18.6199359868,17.6560768159,-1.17196159206,
18.6199359868,17.6560768159,-1.17196159206,
17.1727744992,19.392670601,-0.303664699518,
17.1727744992,19.392670601,-0.303664699518,
17.1727744992,19.392670601,-0.303664699518,
17.1727744992,19.392670601,-0.303664699518,
17.1727744992,19.392670601,-0.303664699518,
17.1727744992,19.392670601,-0.303664699518,
17.1727744992,19.392670601,-0.303664699518,
17.1727744992,19.392670601,-0.303664699518,
17.1727744992,19.392670601,-0.303664699518,
17.5543955446,18.9347253464,-0.532637326787,
17.5543955446,18.9347253464,-0.532637326787,
17.5543955446,18.9347253464,-0.532637326787,
17.5543955446,18.9347253464,-0.532637326787,
17.5543955446,18.9347253464,-0.532637326787,
17.5543955446,18.9347253464,-0.532637326787,
17.5543955446,18.9347253464,-0.532637326787,
17.5543955446,18.9347253464,-0.532637326787,
17.5543955446,18.9347253464,-0.532637326787,
19.1626212452,17.0048545058,-1.49757274711,
19.1626212452,17.0048545058,-1.49757274711,
19.1626212452,17.0048545058,-1.49757274711,
19.1626212452,17.0048545058,-1.49757274711,
19.1626212452,17.0048545058,-1.49757274711,
19.1626212452,17.0048545058,-1.49757274711,
19.1626212452,17.0048545058,-1.49757274711,
19.1626212452,17.0048545058,-1.49757274711,
19.1626212452,17.0048545058,-1.49757274711,
19.2348995134,16.9181205839,-1.54093970804,
19.2348995134,16.9181205839,-1.54093970804,
19.2348995134,16.9181205839,-1.54093970804,
19.2348995134,16.9181205839,-1.54093970804,
19.2348995134,16.9181205839,-1.54093970804,
19.2348995134,16.9181205839,-1.54093970804,
19.2348995134,16.9181205839,-1.54093970804,
19.2348995134,16.9181205839,-1.54093970804,
18.1281730187,18.2461923776,-0.876903811197,
18.1281730187,18.2461923776,-0.876903811197,
18.1281730187,18.2461923776,-0.876903811197,
18.1281730187,18.2461923776,-0.876903811197,
18.1281730187,18.2461923776,-0.876903811197,
18.1281730187,18.2461923776,-0.876903811197,
18.1281730187,18.2461923776,-0.876903811197,
18.1281730187,18.2461923776,-0.876903811197,
18.7612146153,17.4865424617,-1.25672876916,
18.7612146153,17.4865424617,-1.25672876916,
18.7612146153,17.4865424617,-1.25672876916,
18.7612146153,17.4865424617,-1.25672876916,
18.7612146153,17.4865424617,-1.25672876916,
18.7612146153,17.4865424617,-1.25672876916,
18.7612146153,17.4865424617,-1.25672876916,
18.7612146153,17.4865424617,-1.25672876916,
18.2177943873,18.1386467352,-0.930676632392,
18.2177943873,18.1386467352,-0.930676632392,
18.2177943873,18.1386467352,-0.930676632392,
18.2177943873,18.1386467352,-0.930676632392,
18.2177943873,18.1386467352,-0.930676632392,
18.2177943873,18.1386467352,-0.930676632392,
18.2177943873,18.1386467352,-0.930676632392,
18.2177943873,18.1386467352,-0.930676632392,
16.7844915126,19.8586101849,-0.0706949075381,
16.7844915126,19.8586101849,-0.0706949075381,
16.7844915126,19.8586101849,-0.0706949075381,
16.7844915126,19.8586101849,-0.0706949075381,
16.7844915126,19.8586101849,-0.0706949075381,
16.7844915126,19.8586101849,-0.0706949075381,
16.7844915126,19.8586101849,-0.0706949075381,
16.7844915126,19.8586101849,-0.0706949075381,
19.2917223481,16.8499331823,-1.57503340885,
19.2917223481,16.8499331823,-1.57503340885,
19.2917223481,16.8499331823,-1.57503340885,
19.2917223481,16.8499331823,-1.57503340885,
19.2917223481,16.8499331823,-1.57503340885,
19.2917223481,16.8499331823,-1.57503340885,
19.2917223481,16.8499331823,-1.57503340885,
19.2917223481,16.8499331823,-1.57503340885,
17.3398457639,19.1921850833,-0.403907458352,
17.3398457639,19.1921850833,-0.403907458352,
17.3398457639,19.1921850833,-0.403907458352,
17.3398457639,19.1921850833,-0.403907458352,
17.3398457639,19.1921850833,-0.403907458352,
17.3398457639,19.1921850833,-0.403907458352,
17.3398457639,19.1921850833,-0.403907458352,
17.3398457639,19.1921850833,-0.403907458352,
17.3398457639,19.1921850833,-0.403907458352,
17.4365628482,19.0761245822,-0.461937708894,
