goNorth
u_L,u_R,heading,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
48.8712737561,51.1287262439,1.28997285015,
