test_GPS
t,lat,long,speed,heading,
134338.0,16.4711064865,156.228871936,0.4369,0.23160519174,
134339.0,17.026312195,155.302247547,0.45746,0.208217779763,
134340.0,17.3964493092,154.560948036,0.4626,0.20542525296,
134341.0,18.1367235809,153.448998769,0.4883,0.196349540849,
134342.0,18.1367233031,151.595749992,0.48316,0.186750229963,
134343.0,18.3217916287,149.742501215,0.48316,0.189019157991,
134344.0,18.3217914042,148.259902193,0.4883,0.195825942074,
134345.0,19.2471341089,146.406653415,0.51914,0.172438530097,
134346.0,19.4322025285,145.294704149,0.53456,0.181514242207,
134347.0,19.8023395063,143.997430005,0.56026,0.186226631188,
134348.0,18.6919279171,143.812105127,0.52942,0.272620429162,
134349.0,17.5815163306,143.626780249,0.49858,0.36756634047,
134350.0,16.6561733398,143.441455371,0.47802,0.450993078715,
134351.0,15.5457617122,142.885480738,0.44718,0.531801823083,
134352.0,14.9905559596,143.070805616,0.44204,0.601614993162,
134353.0,14.8054873672,143.070805616,0.4369,0.661305253581,
134354.0,13.3249387332,143.997430005,0.42148,0.750142512507,
134355.0,13.3249387128,143.812105127,0.43176,0.769166601354,
134356.0,13.5100072649,143.441455371,0.43176,0.7874925585,
134357.0,12.2145271906,144.182754882,0.41634,0.826064334969,
134358.0,10.9190470677,144.553404638,0.40606,0.850324411572,
134359.0,10.1787726127,143.626780249,0.0,0.805993048571,
134400.0,9.62356672914,142.329506105,0.0,0.716457657944,
134401.0,9.2534294489,141.032231961,0.0,0.589572221324,
134402.0,9.2534294489,141.032231961,0.0,0.589572221324,
134403.0,9.2534294489,141.032231961,0.0,0.589572221324,
134404.0,9.2534294489,141.032231961,0.0,0.589572221324,
134405.0,9.2534294489,141.032231961,0.0,0.589572221324,
134406.0,9.2534294489,141.032231961,0.0,0.589572221324,
134407.0,9.2534294489,141.032231961,0.0,0.589572221324,
134408.0,9.2534294489,141.032231961,0.0,0.589572221324,
134409.0,0.0,109.341677867,0.50886,-0.861319985859,
134410.0,1.48054828487,106.191154946,0.6168,-0.852767872524,
134411.0,3.14616502519,103.040632024,0.73502,-0.84020150191,
134412.0,4.99685018768,99.519459347,0.85324,-0.829205927623,
134413.0,7.21767227286,95.8129617921,0.9766,-0.816814089933,
134414.0,9.80863123437,91.9211393596,1.1051,-0.805120383945,
134415.0,12.5846585202,87.8439920493,1.24388,-0.791332282854,
134416.0,16.4710966234,83.7668447389,1.40322,-0.753458638086,
134417.0,20.9127399216,79.5043725509,1.57798,-0.717155789644,
134418.0,25.5394513934,75.2419003629,1.75788,-0.690801317939,
134419.0,30.5362991293,69.4968291529,1.95834,-0.677711348549,
134420.0,35.7182148609,63.7517579429,2.15366,-0.667413905963,
134421.0,41.2702669609,57.8213618552,2.35412,-0.656941930451,
134422.0,47.0073868975,51.7056408897,2.55972,-0.646644487864,
134423.0,53.2997115037,45.4045950466,2.7756,-0.637219709903,
134424.0,59.5920353602,38.9182243256,2.98634,-0.62971479412,
134425.0,66.2544953882,32.4318536048,3.19708,-0.622733477112,
134426.0,72.5468174343,25.2041833728,3.39754,-0.617497489356,
134427.0,79.2092756482,18.1618380187,3.598,-0.612086968674,
134428.0,85.8717329548,10.9341677868,3.79332,-0.606327382143,
134429.0,93.0893944601,3.52117267709,3.99378,-0.59986966391,
134430.0,100.307056155,-2.59454828832,4.18396,-0.587128760371,
134431.0,107.894853676,-8.89559413159,4.37414,-0.575085988532,
134432.0,115.852786752,-15.5672897303,4.5746,-0.563915881319,
134433.0,124.365923776,-22.4243102066,4.79562,-0.554665636284,
134434.0,131.028379562,-26.501457517,4.84702,-0.540528469343,
134435.0,139.541516666,-31.8758789714,5.03206,-0.525867703626,
134436.0,145.463696808,-37.0649755482,5.06804,-0.515046662264,
134437.0,145.648778069,-26.3161326392,4.91898,-0.462163185928,
134438.0,141.577302291,-2.77987316605,4.53862,-0.379783645234,
134439.0,136.210337744,13.3433911973,4.11714,-0.316428193387,
134440.0,127.141997167,23.5362594732,3.57744,-0.329518162777,
134441.0,114.927489726,31.505229216,2.98634,-0.381878040336,
134442.0,106.969550879,35.2117267707,2.58542,-0.433190720345,
134443.0,75.878075231,67.27293062,1.3364,-0.468446371235,
134444.0,65.1441059083,71.535402808,0.95604,-0.468446371235,
134445.0,61.8128731254,71.3500779303,0.8224,-0.468446371235,
134446.0,61.6278051147,72.276702319,0.79156,-0.468446371235,
134447.0,50.8938346115,75.9831998739,0.4626,-0.468446371235,
134448.0,50.8938343776,75.4272252406,0.0,-0.468446371235,
134449.0,50.7087656564,74.8712506073,0.0,-0.468446371235,
134450.0,50.7087656564,74.8712506073,0.0,-0.468446371235,
134451.0,50.7087656564,74.8712506073,0.0,-0.468446371235,
134452.0,50.1535599624,74.3152759741,0.62708,-0.468446371235,
134453.0,49.5983542722,73.7593013409,0.67848,-0.468446371235,
134454.0,49.2282169993,73.0180018299,0.7196,-0.468446371235,
134455.0,48.6730111709,72.0913774412,0.7967,-0.468446371235,
134456.0,48.3028738347,71.1647530525,0.0,-0.468446371235,
134457.0,48.1178053523,71.1647530525,0.0,-0.468446371235,
134458.0,48.1178052049,70.794103297,0.0,-0.468446371235,
134459.0,48.1178052049,70.794103297,0.0,-0.468446371235,
134500.0,48.1178052049,70.794103297,0.0,-0.468446371235,
134501.0,48.1178052049,70.794103297,0.0,-0.468446371235,
134502.0,46.637257066,70.0528037861,0.0771,-0.468446371235,
134503.0,45.7119148048,70.4234535415,0.08738,-0.468446371235,
134504.0,44.6015040553,70.794103297,0.08224,-0.468446371235,
134505.0,43.8612301287,70.794103297,0.08224,-0.468446371235,
134506.0,42.935887721,70.794103297,0.0771,-0.468446371235,
134507.0,42.010545186,70.4234535415,0.07196,-0.468446371235,
134508.0,41.2702711964,70.2381286638,0.05654,-0.468446371235,
134509.0,40.7150656309,69.8674789084,0.06682,-0.468446371235,
