goNorth
u_L,u_R,heading,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
40.6529469143,29.3470530857,-2.30732527114,
