goNorth
u_L,u_R,heading,
32.6195282888,13.904377369,-3.04781131552,
32.3475881471,14.1219294823,-2.93903525884,
32.5366029772,13.9707176182,-3.0146411909,
32.5093926925,13.992485846,-3.00375707701,
32.3365510677,14.1307591459,-2.93462042707,
32.052759299,14.3577925608,-2.82110371959,
32.3596677421,14.1122658063,-2.94386709685,
32.431149304,14.0550805568,-2.97245972159,
32.4428586852,14.0457130518,-2.97714347408,
32.7237588779,13.8209928977,-3.08950355117,
32.638380592,13.8892955264,-3.0553522368,
32.2783459077,14.1773232738,-2.91133836308,
32.7600121808,13.7919902554,-3.1040048723,
31.8452511616,14.5237990707,-2.73810046465,
32.3356680287,14.131465577,-2.93426721148,
32.4421977675,14.046241786,-2.97687910698,
32.3607125557,14.1114299554,-2.9442850223,
32.6848758944,13.8520992845,-3.07395035776,
32.3778954965,14.0976836028,-2.95115819862,
32.2600247668,14.1919801866,-2.90400990671,
32.7869084821,13.7704732143,-3.11476339284,
32.4234339668,14.0612528266,-2.9693735867,
31.9022548268,14.4781961385,-2.76090193073,
32.2709706519,14.1832234785,-2.90838826076,
32.2864923157,14.1708061475,-2.91459692627,
32.3547573242,14.1161941406,-2.9419029297,
31.8245345901,14.5403723279,-2.72981383604,
32.3701187843,14.1039049726,-2.94804751372,
32.2484956824,14.2012034541,-2.89939827294,
32.4694476452,14.0244418838,-2.98777905808,
32.03103916,14.375168672,-2.81241566398,
32.0998374699,14.3201300241,-2.83993498796,
32.3720654338,14.102347653,-2.94882617352,
32.4017122346,14.0786302123,-2.96068489385,
32.2760228182,14.1791817455,-2.91040912727,
32.4673315087,14.0261347931,-2.98693260347,
32.4271343076,14.0582925539,-2.97085372306,
32.4615593137,14.030752549,-2.98462372548,
32.6069065816,13.9144747348,-3.04276263262,
32.4140196043,14.0687843166,-2.96560784172,
32.404635165,14.076291868,-2.96185406599,
32.0863198435,14.3309441252,-2.83452793739,
32.4001311223,14.0798951022,-2.96005244891,
32.4675696648,14.0259442682,-2.98702786592,
32.5875617307,13.9299506154,-3.03502469229,
32.4001207335,14.0799034132,-2.96004829339,
32.4799522387,14.0160382091,-2.99198089547,
32.6137572597,13.9089941922,-3.04550290388,
32.3375409425,14.129967246,-2.93501637701,
32.3974376357,14.0820498914,-2.95897505428,
32.0991694393,14.3206644486,-2.8396677757,
32.0834674908,14.3332260074,-2.83338699631,
32.0008243411,14.3993405272,-2.80032973642,
32.521335481,13.9829316152,-3.00853419242,
32.3978716829,14.0817026537,-2.95914867314,
32.5075791516,13.9939366787,-3.00303166063,
32.4065317521,14.0747745984,-2.96261270082,
32.7063144619,13.8349484304,-3.08252578478,
32.0522113407,14.3582309274,-2.8208845363,
31.9139412631,14.4688469895,-2.76557650524,
30.7434317717,15.4052545826,-2.29737270868,
23.6518514321,21.0785188543,0.539259427145,
23.6388114925,21.088950806,0.544475402988,
23.6262814975,21.098974802,0.549487400998,
23.7292126276,21.0166298979,0.508314948961,
24.0496914311,20.7602468551,0.380123427548,
22.9910880384,21.6071295692,0.803564784624,
23.0802767318,21.5357786146,0.767889307292,
23.810764053,20.9513887576,0.475694378787,
23.7472110867,21.0022311306,0.50111556531,
23.4776760745,21.2178591404,0.608929570207,
23.7956858841,20.9634512927,0.481725646341,
23.7492364034,21.0006108773,0.500305438638,
23.0386698282,21.5690641374,0.784532068714,
23.656900568,21.0744795456,0.537239772803,
23.9988093474,20.8009525221,0.400476261044,
24.0770426594,20.7383658725,0.369182936225,
24.286822952,20.5705416384,0.285270819181,
25.0572640275,19.954188778,-0.022905610991,
24.4886920413,20.4090463669,0.204523183467,
23.6187773331,21.1049781335,0.552489066744,
24.0763037485,20.7389570012,0.369478500618,
24.13122495,20.69502004,0.347510019996,
25.1344280346,19.8924575723,-0.0537712138434,
29.7177282741,16.2258173808,-1.88709130962,
24.7267703225,20.218583742,0.109291870998,
23.8257543754,20.9393964997,0.469698249843,
24.0720778311,20.7423377352,0.371168867579,
23.8080454983,20.9535636014,0.476781800688,
24.3373961671,20.5300830663,0.26504153315,
23.0665283071,21.5467773543,0.773388677147,
22.4236543446,22.0610765243,1.03053826214,
22.3705598538,22.103552117,1.05177605848,
22.7130709035,21.8295432772,0.914771638606,
23.2101490691,21.4318807447,0.715940372356,
23.36743521,21.306051832,0.653025915993,
23.1777907943,21.4577673646,0.728883682277,
23.373849705,21.300920236,0.650460117991,
23.4813370183,21.2149303853,0.607465192662,
23.5858170728,21.1313463418,0.565673170876,
23.6254428882,21.0996456894,0.549822844703,
23.7298469103,21.0161224717,0.508061235866,
24.2798383393,20.5761293285,0.288064664264,
26.8479410538,18.521647157,-0.739176421521,
29.6455939311,16.2835248551,-1.85823757244,
29.9657648558,16.0273881154,-1.98630594231,
29.1479374023,16.6816500782,-1.65917496092,
25.5241016813,19.580718655,-0.20964067252,
23.6223458707,21.1021233034,0.551061651712,
23.1240346872,21.5007722502,0.750386125113,
30.0252406115,15.9798075108,-2.01009624458,
30.8029113487,15.3576709211,-2.32116453947,
31.0621042676,15.150316586,-2.42484170702,
31.017465312,15.1860277504,-2.4069861248,
30.8904105825,15.287671534,-2.35616423301,
30.6151740479,15.5078607617,-2.24606961915,
30.0266508133,15.9786793494,-2.0106603253,
29.1201132105,16.7039094316,-1.6480452842,
23.3093721465,21.3525022828,0.676251141384,
23.1922861163,21.446171107,0.723085553487,
22.9973539505,21.6021168396,0.801058419795,
23.3493514284,21.3205188573,0.660259428654,
23.7372664984,21.0101868013,0.505093400632,
24.0303939915,20.7756848068,0.387842403392,
23.5665593972,21.1467524822,0.573376241108,
23.4445167524,21.2443865981,0.62219329904,
24.1929813476,20.6456149219,0.322807460969,
29.8179141292,16.1456686967,-1.92716565166,
30.0102563653,15.9917949077,-2.00410254613,
30.1066728818,15.9146616946,-2.0426691527,
29.9374153711,16.0500677031,-1.97496614846,
29.9052117312,16.075830615,-1.96208469249,
30.0344955758,15.9724035394,-2.01379823031,
29.8823914911,16.0940868072,-1.95295659642,
29.6502034496,16.2798372403,-1.86008137985,
28.3956093372,17.2835125303,-1.35824373486,
31.7393520376,14.6085183699,-2.69574081504,
32.5425630206,13.9659495835,-3.01702520826,
17.3042537356,26.1565970115,3.07829850576,
