goNorth
u_L,u_R,heading,
20.6727413762,19.3272586238,1.23442563868,
20.6727413762,19.3272586238,1.23442563868,
20.6727413762,19.3272586238,1.23442563868,
20.6727413762,19.3272586238,1.23442563868,
20.6727413762,19.3272586238,1.23442563868,
20.6727413762,19.3272586238,1.23442563868,
20.5901404901,19.4098595099,1.27572608175,
20.5901404901,19.4098595099,1.27572608175,
20.5901404901,19.4098595099,1.27572608175,
20.5901404901,19.4098595099,1.27572608175,
20.5901404901,19.4098595099,1.27572608175,
20.5901404901,19.4098595099,1.27572608175,
20.9000067112,19.0999932888,1.12079297121,
20.9000067112,19.0999932888,1.12079297121,
20.9000067112,19.0999932888,1.12079297121,
20.9000067112,19.0999932888,1.12079297121,
20.9000067112,19.0999932888,1.12079297121,
20.9000067112,19.0999932888,1.12079297121,
20.6112095798,19.3887904202,1.2651915369,
20.6112095798,19.3887904202,1.2651915369,
20.6112095798,19.3887904202,1.2651915369,
20.6112095798,19.3887904202,1.2651915369,
20.6112095798,19.3887904202,1.2651915369,
20.6112095798,19.3887904202,1.2651915369,
20.642992951,19.357007049,1.24929985132,
20.642992951,19.357007049,1.24929985132,
20.642992951,19.357007049,1.24929985132,
20.642992951,19.357007049,1.24929985132,
20.642992951,19.357007049,1.24929985132,
20.642992951,19.357007049,1.24929985132,
20.642992951,19.357007049,1.24929985132,
20.642992951,19.357007049,1.24929985132,
20.6391624965,19.3608375035,1.25121507855,
20.6391624965,19.3608375035,1.25121507855,
20.6391624965,19.3608375035,1.25121507855,
20.6391624965,19.3608375035,1.25121507855,
20.6391624965,19.3608375035,1.25121507855,
20.6391624965,19.3608375035,1.25121507855,
20.6391624965,19.3608375035,1.25121507855,
20.6391624965,19.3608375035,1.25121507855,
20.6391624965,19.3608375035,1.25121507855,
20.3618958623,19.6381041377,1.38984839567,
20.3618958623,19.6381041377,1.38984839567,
20.3618958623,19.6381041377,1.38984839567,
20.3618958623,19.6381041377,1.38984839567,
20.3618958623,19.6381041377,1.38984839567,
20.3618958623,19.6381041377,1.38984839567,
20.3618958623,19.6381041377,1.38984839567,
20.3618958623,19.6381041377,1.38984839567,
20.3618958623,19.6381041377,1.38984839567,
20.3729303363,19.6270696637,1.38433115866,
20.3729303363,19.6270696637,1.38433115866,
20.3729303363,19.6270696637,1.38433115866,
20.3729303363,19.6270696637,1.38433115866,
20.3729303363,19.6270696637,1.38433115866,
20.3729303363,19.6270696637,1.38433115866,
20.3729303363,19.6270696637,1.38433115866,
20.3729303363,19.6270696637,1.38433115866,
20.8186916622,19.1813083378,1.1614504957,
20.8186916622,19.1813083378,1.1614504957,
20.8186916622,19.1813083378,1.1614504957,
20.8186916622,19.1813083378,1.1614504957,
20.8186916622,19.1813083378,1.1614504957,
20.8186916622,19.1813083378,1.1614504957,
20.8186916622,19.1813083378,1.1614504957,
20.8186916622,19.1813083378,1.1614504957,
20.7922066611,19.2077933389,1.17469299626,
20.7922066611,19.2077933389,1.17469299626,
20.7922066611,19.2077933389,1.17469299626,
20.7922066611,19.2077933389,1.17469299626,
20.7922066611,19.2077933389,1.17469299626,
20.7922066611,19.2077933389,1.17469299626,
20.7922066611,19.2077933389,1.17469299626,
20.7922066611,19.2077933389,1.17469299626,
20.6623836603,19.3376163397,1.23960449663,
20.6623836603,19.3376163397,1.23960449663,
20.6623836603,19.3376163397,1.23960449663,
20.6623836603,19.3376163397,1.23960449663,
20.6623836603,19.3376163397,1.23960449663,
20.6623836603,19.3376163397,1.23960449663,
20.6623836603,19.3376163397,1.23960449663,
20.6623836603,19.3376163397,1.23960449663,
20.6623836603,19.3376163397,1.23960449663,
20.6151678535,19.3848321465,1.26321240007,
20.6151678535,19.3848321465,1.26321240007,
20.6151678535,19.3848321465,1.26321240007,
20.6151678535,19.3848321465,1.26321240007,
20.6151678535,19.3848321465,1.26321240007,
20.6151678535,19.3848321465,1.26321240007,
20.6151678535,19.3848321465,1.26321240007,
20.6151678535,19.3848321465,1.26321240007,
20.6151678535,19.3848321465,1.26321240007,
20.6552148151,19.3447851849,1.24318891923,
20.6552148151,19.3447851849,1.24318891923,
20.6552148151,19.3447851849,1.24318891923,
20.6552148151,19.3447851849,1.24318891923,
20.6552148151,19.3447851849,1.24318891923,
20.6552148151,19.3447851849,1.24318891923,
20.6552148151,19.3447851849,1.24318891923,
20.6552148151,19.3447851849,1.24318891923,
20.6552148151,19.3447851849,1.24318891923,
20.5838216017,19.4161783983,1.27888552595,
20.5838216017,19.4161783983,1.27888552595,
20.5838216017,19.4161783983,1.27888552595,
20.5838216017,19.4161783983,1.27888552595,
20.5838216017,19.4161783983,1.27888552595,
20.5838216017,19.4161783983,1.27888552595,
20.5838216017,19.4161783983,1.27888552595,
20.5838216017,19.4161783983,1.27888552595,
20.5838216017,19.4161783983,1.27888552595,
20.6376224712,19.3623775288,1.25198509118,
20.6376224712,19.3623775288,1.25198509118,
20.6376224712,19.3623775288,1.25198509118,
20.6376224712,19.3623775288,1.25198509118,
20.6376224712,19.3623775288,1.25198509118,
20.6376224712,19.3623775288,1.25198509118,
20.6376224712,19.3623775288,1.25198509118,
20.6376224712,19.3623775288,1.25198509118,
20.8513132118,19.1486867882,1.14513972088,
20.8513132118,19.1486867882,1.14513972088,
20.8513132118,19.1486867882,1.14513972088,
20.8513132118,19.1486867882,1.14513972088,
20.8513132118,19.1486867882,1.14513972088,
20.8513132118,19.1486867882,1.14513972088,
20.8513132118,19.1486867882,1.14513972088,
20.8513132118,19.1486867882,1.14513972088,
20.2788656473,19.7211343527,1.43136350312,
20.2788656473,19.7211343527,1.43136350312,
20.2788656473,19.7211343527,1.43136350312,
20.2788656473,19.7211343527,1.43136350312,
20.2788656473,19.7211343527,1.43136350312,
20.2788656473,19.7211343527,1.43136350312,
20.2788656473,19.7211343527,1.43136350312,
20.2788656473,19.7211343527,1.43136350312,
20.2788656473,19.7211343527,1.43136350312,
20.6919950502,19.3080049498,1.22479880169,
20.6919950502,19.3080049498,1.22479880169,
