test_GPS
t,lat,long,speed,heading,
140933.0,-25.9095974582,117.681297366,0.0,0.0,
140934.0,-25.9095974582,117.681297366,0.0,0.0,
140935.0,-25.9095974582,117.681297366,0.0,0.0,
140936.0,-25.9095974582,117.681297366,0.0,0.0,
140936.214,-25.9095974582,117.681297366,0.0,0.0,
140938.0,-25.9095974582,117.681297366,0.0,0.0,
140939.0,-25.9095974582,117.681297366,0.0,0.0,
140940.0,-25.9095974582,117.681297366,0.0,0.0,
140941.0,-25.9095974582,117.681297366,0.0,0.0,
140942.0,-25.9095974582,117.681297366,0.0,0.0,
140942.214,-25.9095974582,117.681297366,0.0,0.0,
140944.0,-25.9095974582,117.681297366,0.0,0.0,
140945.0,-25.9095974582,117.681297366,0.0,0.0,
140946.0,-25.9095974582,117.681297366,0.0,0.0,
140947.0,-25.9095974582,117.681297366,0.0,0.0,
140948.0,-25.9095974582,117.681297366,0.0,0.0,
140948.214,-25.9095974582,117.681297366,0.0,0.0,
140950.0,-25.9095974582,117.681297366,0.0,0.0,
140951.0,-25.9095974582,117.681297366,0.0,0.0,
140952.0,-25.9095974582,117.681297366,0.0,0.0,
140953.0,-25.9095974582,117.681297366,0.0,0.0,
140954.0,-25.9095974582,117.681297366,0.0,0.0,
140954.214,-23.5037068431,120.646495409,0.48316,0.834092849528,
140956.0,-23.1335701514,122.870393942,0.61166,0.941256065601,
140957.0,-22.393296112,123.982343209,0.68362,0.918043186549,
140958.0,-21.2828850603,125.835591986,0.83268,0.918392252399,
140959.0,-20.3575426072,128.059490519,0.96118,0.953124304514,
141000.0,-19.9874057133,129.542089541,0.94576,0.967261471455,
141000.214,-19.8023372023,129.912739296,0.93034,0.939859802199,
141002.0,-19.0620630892,131.024688563,0.76586,0.840725100686,
141003.0,-15.5457601178,130.46871393,0.88922,0.403345590136,
141004.0,-15.7308286909,130.46871393,0.7967,0.365297412442,
141005.0,-15.9158973127,130.839363685,0.72988,0.391477351222,
141006.0,-16.841240257,131.395338318,0.59624,0.565137611796,
141006.214,-17.5815145805,131.580663196,0.54484,0.69115038379,
141008.0,-17.0263088843,131.765988074,0.48316,0.562694150843,
141009.0,-17.0263089104,131.951312952,0.44718,0.617148423505,
141010.0,-17.0263088843,131.765988074,0.0,0.554491103359,
141011.0,-17.0263089104,131.951312952,0.0,0.540703002268,
141012.0,-16.656171708,131.580663196,0.0,0.349414916249,
141012.214,-16.656171708,131.580663196,0.0,0.349414916249,
141014.0,-16.656171708,131.580663196,0.0,0.349414916249,
