triangle
t,u_L,u_R,heading,heading_obj,pos_x,pos_y,
94754.0,13.761053393,30.1706761478,1.39049435071,-0.0624593846991,-5359492.97961,335238.063168,
94756.0,13.4154211256,30.4175563389,1.42576294942,-0.0624593846991,-5359492.97961,335238.063168,
94758.0,12.9784503492,30.729678322,1.47035180416,-0.0624593846991,-5359492.97961,335238.063168,
94800.0,12.6607145572,30.9566324591,1.50277382375,-0.0624593846991,-5359492.97961,335238.063168,
94802.0,41.0069990295,10.7092864075,1.62743501266,2.95467981159,42.5657405873,41.8834223694,
94804.0,38.5213819667,12.4847271667,1.88106940683,2.95467981159,42.5657405873,41.8834223694,
94806.0,30.8118897313,17.9915073348,2.66775228798,2.95467981159,42.5657405873,41.8834223694,
94808.0,86.0003271933,-21.4288051381,-2.96372092243,2.95467981159,42.5657405873,41.8834223694,
94810.0,83.5893984457,-19.7067131755,-2.71770778491,2.95467981159,42.5657405873,41.8834223694,
94812.0,76.5955026013,-14.7110732866,-2.00404494364,2.95467981159,42.5657405873,41.8834223694,
94814.0,61.2660198952,-3.7614427823,-0.439812014455,2.95467981159,42.5657405873,41.8834223694,
94816.0,46.5870779046,6.72351578241,1.05803920908,2.95467981159,42.5657405873,41.8834223694,
94818.0,31.3988030617,17.5722835274,2.60786317264,2.95467981159,42.5657405873,41.8834223694,
94820.0,84.1078049422,-20.0770035302,-2.77060640701,2.95467981159,42.5657405873,41.8834223694,
94822.0,82.1540945608,-18.6814961149,-2.57124820482,2.95467981159,42.5657405873,41.8834223694,
94824.0,75.7777185439,-14.126941817,-1.92059759085,2.95467981159,42.5657405873,41.8834223694,
94826.0,57.4843771748,-1.0602694106,-0.0539301042121,2.95467981159,42.5657405873,41.8834223694,
94828.0,45.4235983565,7.55457260252,1.17676161195,2.95467981159,42.5657405873,41.8834223694,
94830.0,32.937780342,16.4730140414,2.45082467465,2.95467981159,42.5657405873,41.8834223694,
94832.0,84.1401190344,-20.1000850245,-2.77390376335,2.95467981159,42.5657405873,41.8834223694,
94834.0,80.2407243198,-17.3148030856,-2.37600634349,2.95467981159,42.5657405873,41.8834223694,
94836.0,73.2533495661,-12.3238211187,-1.66300891965,2.95467981159,42.5657405873,41.8834223694,
94838.0,52.5028130646,2.49799066815,0.454392764181,2.95467981159,42.5657405873,41.8834223694,
