goNorth
u_L,u_R,heading,
28.9971259946,16.8022992043,-1.59885039784,
28.9707651991,16.8233878407,-1.58830607966,
28.9707651991,16.8233878407,-1.58830607966,
28.9707651991,16.8233878407,-1.58830607966,
28.9707651991,16.8233878407,-1.58830607966,
28.9707651991,16.8233878407,-1.58830607966,
28.9707651991,16.8233878407,-1.58830607966,
28.8421820144,16.9262543885,-1.53687280575,
28.8421820144,16.9262543885,-1.53687280575,
28.8421820144,16.9262543885,-1.53687280575,
28.8421820144,16.9262543885,-1.53687280575,
28.8421820144,16.9262543885,-1.53687280575,
28.8421820144,16.9262543885,-1.53687280575,
29.0497145323,16.7602283741,-1.61988581293,
29.0497145323,16.7602283741,-1.61988581293,
29.0497145323,16.7602283741,-1.61988581293,
29.0497145323,16.7602283741,-1.61988581293,
29.0497145323,16.7602283741,-1.61988581293,
29.0497145323,16.7602283741,-1.61988581293,
28.9222390833,16.8622087333,-1.56889563333,
28.9222390833,16.8622087333,-1.56889563333,
28.9222390833,16.8622087333,-1.56889563333,
28.9222390833,16.8622087333,-1.56889563333,
28.9222390833,16.8622087333,-1.56889563333,
28.9222390833,16.8622087333,-1.56889563333,
28.9222390833,16.8622087333,-1.56889563333,
28.8586824324,16.9130540541,-1.54347297295,
28.8586824324,16.9130540541,-1.54347297295,
28.8586824324,16.9130540541,-1.54347297295,
28.8586824324,16.9130540541,-1.54347297295,
28.8586824324,16.9130540541,-1.54347297295,
28.8586824324,16.9130540541,-1.54347297295,
29.0161156287,16.787107497,-1.60644625149,
29.0161156287,16.787107497,-1.60644625149,
29.0161156287,16.787107497,-1.60644625149,
29.0161156287,16.787107497,-1.60644625149,
29.0161156287,16.787107497,-1.60644625149,
29.0161156287,16.787107497,-1.60644625149,
28.772207722,16.9822338224,-1.50888308881,
28.772207722,16.9822338224,-1.50888308881,
28.772207722,16.9822338224,-1.50888308881,
28.772207722,16.9822338224,-1.50888308881,
28.772207722,16.9822338224,-1.50888308881,
28.772207722,16.9822338224,-1.50888308881,
28.772207722,16.9822338224,-1.50888308881,
28.772207722,16.9822338224,-1.50888308881,
28.9918953279,16.8064837377,-1.59675813116,
28.9918953279,16.8064837377,-1.59675813116,
28.9918953279,16.8064837377,-1.59675813116,
28.9918953279,16.8064837377,-1.59675813116,
28.9918953279,16.8064837377,-1.59675813116,
28.9918953279,16.8064837377,-1.59675813116,
28.9918953279,16.8064837377,-1.59675813116,
28.9918953279,16.8064837377,-1.59675813116,
28.9918953279,16.8064837377,-1.59675813116,
28.5513780454,17.1588975637,-1.42055121816,
28.5513780454,17.1588975637,-1.42055121816,
28.5513780454,17.1588975637,-1.42055121816,
28.5513780454,17.1588975637,-1.42055121816,
28.5513780454,17.1588975637,-1.42055121816,
28.5513780454,17.1588975637,-1.42055121816,
28.5513780454,17.1588975637,-1.42055121816,
28.5513780454,17.1588975637,-1.42055121816,
28.5513780454,17.1588975637,-1.42055121816,
28.5103488614,17.1917209109,-1.40413954456,
28.5103488614,17.1917209109,-1.40413954456,
28.5103488614,17.1917209109,-1.40413954456,
28.5103488614,17.1917209109,-1.40413954456,
28.5103488614,17.1917209109,-1.40413954456,
28.5103488614,17.1917209109,-1.40413954456,
28.5103488614,17.1917209109,-1.40413954456,
28.5103488614,17.1917209109,-1.40413954456,
28.5103488614,17.1917209109,-1.40413954456,
28.5808302307,17.1353358155,-1.43233209226,
28.5808302307,17.1353358155,-1.43233209226,
28.5808302307,17.1353358155,-1.43233209226,
28.5808302307,17.1353358155,-1.43233209226,
28.5808302307,17.1353358155,-1.43233209226,
28.5808302307,17.1353358155,-1.43233209226,
28.5808302307,17.1353358155,-1.43233209226,
28.5808302307,17.1353358155,-1.43233209226,
28.5808302307,17.1353358155,-1.43233209226,
28.699132298,17.0406941616,-1.47965291922,
28.699132298,17.0406941616,-1.47965291922,
28.699132298,17.0406941616,-1.47965291922,
28.699132298,17.0406941616,-1.47965291922,
28.699132298,17.0406941616,-1.47965291922,
28.699132298,17.0406941616,-1.47965291922,
28.699132298,17.0406941616,-1.47965291922,
28.699132298,17.0406941616,-1.47965291922,
28.699132298,17.0406941616,-1.47965291922,
28.785811803,16.9713505576,-1.5143247212,
28.785811803,16.9713505576,-1.5143247212,
28.785811803,16.9713505576,-1.5143247212,
28.785811803,16.9713505576,-1.5143247212,
28.785811803,16.9713505576,-1.5143247212,
28.785811803,16.9713505576,-1.5143247212,
28.785811803,16.9713505576,-1.5143247212,
28.785811803,16.9713505576,-1.5143247212,
28.785811803,16.9713505576,-1.5143247212,
28.6008313909,17.1193348873,-1.44033255637,
28.6008313909,17.1193348873,-1.44033255637,
28.6008313909,17.1193348873,-1.44033255637,
28.6008313909,17.1193348873,-1.44033255637,
